country,country_num,year,iso3,devlev2,china,bndgrn,x1l,x2l,envtax,gdpg,bigtech,ngain,rating,riskeqt,riskctr,dum9,dum12,fie,cbmndsq,cbmnd,cbenfsq,cbenf,cbsyssq,cbsys,wui,gprlog,infl,enrgoil,prodstr,hierarchy,openness,purity
Argentina,Argentina,2017,ARG,High income,0,-0.02642878331243992,,-0.02642875909805298,2.2870829671078,2.818502977759181,0.8700000047683716,49.5110594434404,2.0,0.1142416437394602,0.0634416437394602,0,0,0.6204536283016205,9.0,3.0,36.0,6.0,1.0,1.0,0.1889999955892563,4.800258159637451,,37.44200134277344,-0.7187878489494324,2.1,50.83,-0.04269
Argentina,Argentina,2020,ARG,High income,0,-1.718140125274658,,-1.718140125274658,2.355695456121034,-9.905234855738883,,,1.0,0.1634057965865632,0.1162057965865632,0,0,0.645519954885006,9.0,3.0,36.0,6.0,1.0,1.0,0.2347500026226044,5.258591651916504,,33.7599983215332,-0.928686797618866,2.1,50.83,-0.04269
Argentina,Argentina,2021,ARG,High income,0,-0.1101947352290154,,-0.1101947501301765,2.426366319804665,,,,1.0,0.161057793334815,0.118657793334815,0,0,,9.0,3.0,36.0,6.0,1.0,1.0,0.09624999761581421,5.353901863098145,,35.7239990234375,-1.212988376617432,2.1,50.83,-0.04269
Australia,Australia,2014,AUS,High income,0,-0.6008563041687012,,-0.600856363773346,1.7303399708647,2.533114665388197,0.009999999776482582,70.6967206992608,4.0,0.0575,0.01,0,1,0.87161785364151,9.0,3.0,36.0,6.0,4.0,2.0,0.1185000017285347,4.438490390777588,2.569999933242798,36.81600189208984,0.1316917836666107,2.29,50.07,0.152964
Australia,Australia,2015,AUS,High income,0,-0.5737627744674683,,-0.5737627148628235,1.7430918813493,2.192647426460368,0.009999999776482582,70.520453411607,4.0,0.0625,0.01,0,1,0.8687083721160889,9.0,3.0,36.0,6.0,4.0,2.0,0.1745000034570694,4.813110828399658,2.329999923706055,35.67100143432617,0.289313942193985,2.29,50.07,0.152964
Australia,Australia,2016,AUS,High income,0,-0.5595971941947937,,-0.5595971941947937,1.631431279135,2.770652197302496,0.009999999776482582,70.514830508151,4.0,0.0569,0.01,0,1,0.8582174777984619,9.0,3.0,36.0,6.0,4.0,2.0,0.2489999979734421,4.723831653594971,27.3799991607666,35.59999847412109,0.3897800147533417,2.29,50.07,0.152964
Australia,Australia,2017,AUS,High income,0,0.9804471731185913,,0.9804471731185913,0.58525859810793,2.300610623594253,0.009999999776482582,69.8511199390905,4.0,0.0508,0.01,0,1,0.8753818273544312,9.0,3.0,36.0,6.0,4.0,2.0,0.3072499930858612,4.800258159637451,5.539999961853027,37.46699905395508,0.2661337554454803,2.29,50.07,0.152964
Australia,Australia,2018,AUS,High income,0,0.8619675636291504,,0.8619676232337952,0.56447654022468,2.949285771609581,0.009999999776482582,70.08094595704,4.0,0.0596,0.01,0,1,0.8928894639015198,9.0,3.0,36.0,6.0,4.0,2.0,0.1722500026226044,5.035384178161621,1.539999961853027,37.63199996948242,0.2300435453653336,2.29,50.07,0.152964
Australia,Australia,2019,AUS,High income,0,0.7427389025688171,,0.7427389621734619,0.5814108364314203,2.160956295359995,0.009999999776482582,69.8637468400851,4.0,0.052,0.01,0,1,0.9107472531795502,9.0,3.0,36.0,6.0,4.0,2.0,0.2157500088214874,5.07627010345459,1.490000009536743,35.98699951171875,0.171530619263649,2.29,50.07,0.152964
Australia,Australia,2020,AUS,High income,0,0.891511857509613,,0.8915117979049683,0.598853161524363,-0.2848392977856093,,,4.0,0.0472,0.01,0,1,0.9107472531795502,9.0,3.0,36.0,6.0,4.0,2.0,0.3145000040531158,5.258591651916504,0.4399999976158142,32.76699829101563,0.1968068182468414,2.29,50.07,0.152964
