country,T
Germany,15
Norway,12
France,10
New Zealand,10
United States,10
Switzerland,9
Sweden,9
Italy,9
United Kingdom,9
Australia,8
Canada,8
China,8
Japan,8
Netherlands,8
Austria,7
Mexico,7
Luxembourg,7
"Korea, Rep.",7
Cayman Islands,7
Brazil,7
Spain,7
India,6
Hong Kong,6
Finland,6
British Virgin Islands,6
Bermuda,6
United Arab Emirates,6
Denmark,6
South Africa,6
Malaysia,5
Chile,5
Belgium,5
Mauritius,5
Singapore,5
Ireland,5
Taiwan,5
Peru,4
Colombia,4
Poland,4
Thailand,4
Latvia,4
Indonesia,4
Panama,3
Argentina,3
Jersey,3
Philippines,3
Turkey,3
Portugal,3
Russia,3
Macao,3
Greece,3
Guernsey,3
Liechtenstein,3
Hungary,2
Iceland,2
Georgia,2
Vietnam,2
Nigeria,2
Lithuania,2
Bangladesh,1
Marshall Islands,1
Israel,1
Egypt,1
Fiji,1
Costa Rica,1
Estonia,1
Czech Rep.,1
Morocco,1
Serbia,1
Romania,1
Namibia,1
Pakistan,1
Slovak Rep.,1
Seychelles,1
Slovenia,1
Ukraine,1
