country,bndgrn,cbmnd,cbenf,cbsys
Argentina,-0.6183,3.0,6.0,1.0
Australia,0.4193,3.0,6.0,2.0
Austria,0.1454,4.0,6.0,2.0
Bangladesh,-1.0508,8.0,6.0,1.0
Belgium,-0.4309,4.0,6.0,1.0
Bermuda,-0.5601,,,
Brazil,-0.6795,6.0,6.0,0.0
British Virgin Islands,0.155,,,
Canada,1.185,2.0,6.0,3.0
Cayman Islands,0.7807,5.0,3.0,0.0
Chile,0.3656,5.0,6.0,1.0
China,2.4868,0.0,6.0,0.0
Colombia,-1.9858,4.0,6.0,2.0
Costa Rica,0.0,4.0,6.0,0.0
Czech Rep.,-0.0384,,,
Denmark,0.8498,6.0,6.0,1.0
Egypt,0.4055,7.0,6.0,0.0
Estonia,-2.6876,7.0,6.0,0.0
Fiji,-3.0789,5.0,3.0,0.0
Finland,0.2846,5.0,6.0,1.0
France,2.339,4.0,6.0,2.0
Georgia,-0.3466,,,
Germany,0.0722,4.0,0.0,0.0
Greece,-0.6225,4.0,6.0,1.0
Guernsey,-2.7603,5.0,6.0,0.0
Hong Kong,1.0527,5.0,6.0,2.0
Hungary,0.3381,6.0,6.0,0.0
Iceland,-0.1421,4.0,6.0,5.0
India,0.4759,7.0,6.0,1.0
Indonesia,0.6996,6.0,6.0,0.0
Ireland,0.5173,7.0,3.0,2.0
Israel,0.0,6.0,6.0,1.0
Italy,0.0079,4.0,6.0,0.0
Japan,1.0136,,,
Jersey,-0.9882,2.0,9.0,0.0
"Korea, Rep.",0.967,5.0,0.0,3.0
Latvia,-2.8261,4.0,6.0,3.0
Liechtenstein,-1.611,6.0,6.0,0.0
Lithuania,-0.9777,5.0,6.0,0.0
Luxembourg,0.3607,7.0,3.0,0.0
Macao,-0.2384,7.0,6.0,0.0
Malaysia,-1.3855,6.0,6.0,2.0
Marshall Islands,-1.6094,,,
Mauritius,0.6109,7.0,3.0,1.0
Mexico,-0.2312,8.0,6.0,1.0
Morocco,-4.2368,0.0,6.0,1.0
Namibia,-5.4583,5.0,4.0,1.0
Netherlands,2.3674,4.0,6.0,1.0
New Zealand,-1.6766,4.0,6.0,0.0
Nigeria,-3.1439,5.0,6.0,0.0
Norway,-0.2006,6.0,6.0,0.0
Pakistan,-0.6931,6.0,6.0,2.0
Panama,-2.3639,8.0,3.0,1.0
Peru,-1.4688,4.0,6.0,2.0
Philippines,-1.0902,1.0,6.0,0.0
Poland,0.2488,4.0,3.0,0.0
Portugal,0.5413,5.0,6.0,2.0
Romania,-0.7275,4.0,6.0,1.0
Russia,-1.5314,6.0,6.0,1.0
Serbia,0.8172,6.0,6.0,1.0
Seychelles,-4.1997,4.0,6.0,0.0
Singapore,0.058,,,
Slovak Rep.,-0.7922,5.0,6.0,0.0
Slovenia,-2.4662,4.0,6.0,0.0
South Africa,-2.2549,3.0,6.0,0.0
Spain,1.4113,3.0,6.0,1.0
Sweden,1.3681,,,
Switzerland,-0.9,5.0,6.0,0.0
Taiwan,-0.123,,,
Thailand,-0.7566,4.0,6.0,2.0
Turkey,-1.3218,2.0,6.0,2.0
Ukraine,0.5008,4.0,4.0,1.0
United Arab Emirates,-1.1843,7.0,6.0,3.0
United Kingdom,0.7536,7.0,6.0,2.0
United States,1.4423,7.0,3.0,0.0
Vietnam,-1.7416,,,
