variable,N,mean,std,min_std,Q1,median,Q3,max_std,skewness,kurtosis
bndgrn [Between],322,0.12003,1.21264,-2.43,-0.62246,0.15495,0.93771,1.952,-0.2029,-0.1749
cbmnd [Between],283,4.79859,1.76603,-2.717,4.0,5.0,6.0,1.813,-0.3852,0.0523
infl [Between],291,2.2055,2.15379,-1.976,0.964,1.78889,2.5,5.619,1.9948,8.833
rating [Between],316,3.73101,0.50618,-4.737,3.71429,4.0,4.0,0.531,-1.9858,4.2493
fie [Between],289,0.79669,0.10062,-2.877,0.74913,0.83251,0.8717,1.281,-1.0745,0.3633
gdpg [Between],302,0.83389,3.52555,-8.595,0.15501,0.82456,2.01661,1.516,-6.1971,51.9012
dum9 [Between],322,0.3354,0.47287,-0.709,0.0,0.0,1.0,1.405,0.6972,-1.5138
dum12 [Between],322,0.63354,0.48259,-1.313,0.0,1.0,1.0,0.759,-0.5543,-1.6928
bndgrn [One-Way Within],322,0.0,1.46597,-3.915,-0.88481,0.19583,0.95661,2.865,-0.6429,1.0118
cbmnd [One-Way Within],283,0.0,0.0,,0.0,0.0,0.0,,,
infl [One-Way Within],290,-0.0,3.78791,-7.014,-0.68092,-0.13057,0.34324,6.921,1.6191,27.4329
rating [One-Way Within],308,0.0,0.10568,-6.759,0.0,0.0,0.0,6.308,-2.3068,28.9815
fie [One-Way Within],245,0.0,0.02897,-5.123,-0.01625,0.0,0.02044,3.037,-1.005,4.0934
gdpg [One-Way Within],246,-0.0,4.18329,-6.416,-0.41188,0.70831,1.79388,6.416,-0.8161,14.0889
dum9 [One-Way Within],322,0.0,0.0,,0.0,0.0,0.0,,,
dum12 [One-Way Within],322,0.0,0.0,,0.0,0.0,0.0,,,
bndgrn [TWFE],15,-0.0,0.0,-0.379,-0.0,-0.0,-0.0,2.463,2.1573,2.6538
cbmnd [TWFE],15,0.0,0.0,,0.0,0.0,0.0,,,
infl [TWFE],15,0.0,0.0,,0.0,0.0,0.0,,,
rating [TWFE],12,0.0,0.0,,0.0,0.0,0.0,,,
fie [TWFE],14,0.0,0.0,,0.0,0.0,0.0,,,
gdpg [TWFE],11,-0.0,0.0,-0.87,-0.0,-0.0,0.0,1.044,0.1826,-1.9667
dum9 [TWFE],15,0.0,0.0,,0.0,0.0,0.0,,,
dum12 [TWFE],15,0.0,0.0,,0.0,0.0,0.0,,,
bndgrn [First Diff],269,0.47347,1.41118,-2.749,-0.27115,0.40324,1.15668,3.572,0.4135,1.8389
cbmnd [First Diff],236,0.0,0.0,,0.0,0.0,0.0,,,
infl [First Diff],245,-0.07429,5.73805,-5.451,-0.46,-0.01,0.38,5.86,0.2418,20.3721
rating [First Diff],256,0.0,0.12524,-7.984,0.0,0.0,0.0,7.984,0.0,61.0
fie [First Diff],199,0.00907,0.02396,-5.505,0.0,0.01304,0.01736,3.929,-0.8998,7.9519
gdpg [First Diff],198,-1.97431,5.3309,-9.699,-2.19621,-0.53294,0.38068,1.233,-5.3655,44.2566
dum9 [First Diff],269,0.0,0.0,,0.0,0.0,0.0,,,
dum12 [First Diff],269,0.0,0.0,,0.0,0.0,0.0,,,
