,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.7598731233118095,0.1259399416541639,6.0336150178507415,1.6033177705986972e-09,0.5130353734545725,1.0067108731690464
dY1,-0.3806699669849187,0.08875045585356445,-4.289217033577974,1.7930409478310135e-05,-0.554617664069417,-0.20672226990042034
dX,8.783313370276606e-15,3.5273569003865832e-15,2.4900551938234523,0.012772325875120914,1.869820884900064e-15,1.569680585565315e-14
dX1,-6.765078586109594e-14,3.2905994597142876e-14,-2.055880294436377,0.03979405596582044,-1.3214535014696558e-13,-3.1562215752262914e-15
dinfl,-0.0006623853232702393,0.007813357170979274,-0.08477601993295544,0.9324394582156843,-0.015976283976737383,0.014651513330196902
drating,-2.141134880854737,0.24604674639350274,-8.702146694638335,3.2566423463528413e-18,-2.6233776422992627,-1.6588921194102109
dfie,11.187087986735895,5.320268078844037,2.102730129562677,0.035489366734122195,0.7595541641034789,21.61462180936831
dgdpg,0.07216563592860122,0.037365523928854394,1.9313428085742292,0.05344067272146916,-0.001069445235422975,0.14540071709262542
ddum9,-9.904771542263324e-16,6.592562794936269e-16,-1.5024159572467257,0.13298971779070176,-2.282595718615713e-15,3.0164141016304813e-16
ddum12,9.900613090401575e-17,8.378991920929825e-17,1.1815995508565778,0.23736463184632117,-6.521909301372968e-17,2.632313548217612e-16
td_1992,-1.2864122658228779e-15,5.222702537891532e-16,-2.4631160907399066,0.013773531119499603,-2.3100431534462116e-15,-2.6278137819954395e-16
td_1993,2.823964904770123e-16,2.455567406034459e-16,1.1500254066861866,0.2501334071108642,-1.98885877266786e-16,7.636788582208106e-16
td_1994,4.389286043364459e-16,1.1225028959401567e-16,3.9102670106594206,9.219415092049105e-05,2.18922079477984e-16,6.589351291949078e-16
td_1999,2.30033228280429e-15,1.0728031622259791e-15,2.144225859691994,0.03201479401315675,1.9767672234069022e-16,4.40298784326789e-15
td_2000,1.9737599184399678e-16,6.973700355840246e-18,28.30290688912391,3.182626593081614e-176,1.8370779030757574e-16,2.110441933804178e-16
td_2002,-1.299415654777599e-16,1.3722208934691094e-17,-9.469434993753437,2.813614288919896e-21,-1.568366007780882e-16,-1.0304653017743163e-16
td_2003,2.887609266262863,0.3636024259993004,7.941666666075597,1.994824319941273e-15,2.174961606612844,3.6002569259128823
td_2004,0.0,0.0,,,0.0,0.0
td_2008,-1.0792353685094804,0.23743297527887205,-4.545431683370377,5.482277718781701e-06,-1.5445954487982587,-0.6138752882207021
td_2010,0.0,0.0,,,0.0,0.0
td_2011,-2.4298896960565477,0.12485700310453003,-19.46138090486001,2.3341037163004633e-84,-2.6746049253590325,-2.185174466754063
td_2012,0.0,0.0,,,0.0,0.0
td_2013,1.4032689925524107,1.0413561154241673,1.3475399738549845,0.17780638819072758,-0.6377514887594926,3.444289473864314
td_2014,0.8397949923505277,0.3477378494207083,2.415023253147538,0.015734205170588222,0.1582413314245269,1.5213486532765286
td_2015,0.2783889799789384,0.2639294767919335,1.0547854804350023,0.29152344661255547,-0.23890328899175128,0.7956812489496281
td_2016,-0.31970674951873657,0.37956737486669223,-0.8422924905783082,0.3996242533755092,-1.063645133963867,0.42423163492639393
td_2017,-0.1688449729877757,0.27141193333228397,-0.6220985603498219,0.5338770615667903,-0.7008025872934385,0.3631126413178871
td_2018,-0.5471099742533181,0.3104103492065059,-1.7625378008558072,0.07797847551544775,-1.155503079126571,0.061283130619934845
td_2019,0.06306555866043548,0.2171768778938084,0.2903879974334664,0.7715194249652129,-0.362593300286282,0.488724417607153
td_2020,-0.16746790516736632,0.2703412913429585,-0.6194684664538143,0.5356077892261175,-0.6973270997336148,0.3623912893988822
td_2021,0.0,0.0,,,0.0,0.0
