,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.5115412611223735,0.15751459505068494,3.247580079533393,0.0011639090633621541,0.20281832778362002,0.8202641944611271
dX,-1.0783139227746021e-13,7.879851219181886e-14,-1.368444521071245,0.17117297653366792,-2.6227363820876553e-13,4.661085365384511e-14
dinfl,0.007925445279508477,0.008914356281584756,0.8890653491021929,0.3739679600840168,-0.009546371977756039,0.02539726253677299
drating,-3.171619546297604,0.5150454180192378,-6.157941485034508,7.369657374120131e-10,-4.181090016017687,-2.1621490765775206
dfie,6.5470964907240266,5.03454471097006,1.3004346701814327,0.19345203362547614,-3.3204298213339065,16.41462280278196
dgdpg,0.12259624260086802,0.049124670760341854,2.495614539565311,0.012573915351931352,0.026313657158210116,0.21887882804352593
ddum9,1.4293169274572018e-15,1.0627065570566403e-15,1.3449779884824986,0.1786323429658726,-6.535496505083733e-16,3.512183505422777e-15
ddum12,-1.2622749671751571e-15,7.542638050341499e-16,-1.6735192100567606,0.09422512805548287,-2.7406048598842322e-15,2.1605492553391795e-16
td_1992,-1.7922755653988075e-15,1.2379952531815536e-15,-1.4477241013588669,0.1476942267016418,-4.2187016746661984e-15,6.341505438685835e-16
td_1993,5.098275601665763e-15,3.593218007123954e-15,1.418860640116426,0.15593964931362575,-1.9443022808979746e-15,1.21408534842295e-14
td_1994,-2.0832872467671775e-15,9.667209435792212e-16,-2.1550037377424993,0.031161541728999386,-3.9780254792830285e-15,-1.8854901425132649e-16
td_1999,-2.0083231888198665e-15,1.6433716777251445e-15,-1.2220748452960504,0.2216793246552643,-5.229272490374315e-15,1.2126261127345813e-15
td_2000,-5.550461993323151e-17,2.3357681250189797e-16,-0.2376289809707909,0.8121688707000194,-5.133067600606165e-16,4.022975201941535e-16
td_2002,2.750098618766946e-15,2.157849437949072e-15,1.274462699019806,0.20249948401481233,-1.4792085636732335e-15,6.979405801207125e-15
td_2003,2.855905937686367,0.3765845949529262,7.583703571420283,3.3582795119209835e-14,2.1178136944460277,3.5939981809267065
td_2004,4.2109256730142846e-17,7.40200844762158e-18,5.688896064915116,1.2786325843272932e-08,2.7601586759543315e-17,5.661692670074238e-17
td_2008,-1.972987254064753,0.48823326755394053,-4.041075004883348,5.3206736110471296e-05,-2.9299068745247845,-1.0160676336047216
td_2010,0.0,0.0,,,0.0,0.0
td_2011,-2.621562096746144,0.17849853040603403,-14.686743306977522,7.839185462565236e-49,-2.9714127876352983,-2.2717114058569896
td_2012,0.0,0.0,,,0.0,0.0
td_2013,2.278925124523226,1.1685362995378186,1.95023905155928,0.05114763326857286,-0.011363937198606955,4.569214186245059
td_2014,0.25752789082474914,0.6007810916084219,0.428655119846217,0.6681742262314119,-0.9199814113204166,1.4350371929699148
td_2015,0.1948952257574199,0.31555280067079333,0.6176311075139155,0.5368185341657707,-0.4235768987780816,0.8133673502929214
td_2016,-0.44470595694378595,0.3496710996885479,-1.2717835627247593,0.20345003074398382,-1.1300487187678547,0.24063680488028288
td_2017,0.03497689403176196,0.27153831035655374,0.12881016305152013,0.8975078635770262,-0.49722841468994294,0.5671822027534669
td_2018,-0.49926991199688275,0.34221607939645976,-1.4589317745601165,0.1445838866190962,-1.1700011025444437,0.17146127855067805
td_2019,0.4813946782613712,0.3363000025941103,1.431444170526456,0.15230295683322484,-0.17774121482381172,1.1405305713465541
td_2020,-0.053559270211126705,0.2987436302239898,-0.17928171446189306,0.8577165039800989,-0.6390860260608983,0.5319674856386448
td_2021,0.0,0.0,,,0.0,0.0
dY1,0.0392825656818938,0.2001510859573546,0.19626456431150005,0.8444030955466646,-0.3530063542611018,0.4315714856248894
dX1,0.0,0.0,,,0.0,0.0
